,full_name,swim_time_formatted,swim_date
0,"Dressel, Caeleb","=""46.96""","=""7/25/2019"""
1,"Dressel, Caeleb","=""47.17""","=""7/27/2017"""
4,"Dressel, Caeleb","=""47.32""","=""7/24/2019"""
6,"Dressel, Caeleb","=""47.35""","=""7/24/2019"""
7,"Held, Ryan","=""47.39""","=""7/31/2019"""
8,"Held, Ryan","=""47.43""","=""7/31/2019"""
10,"Rooney, Maxime","=""47.61""","=""7/31/2019"""
12,"Dressel, Caeleb","=""47.66""","=""7/26/2017"""
13,"Apple, Zach","=""47.69""","=""12/7/2019"""
14,"Adrian, Nathan","=""47.72""","=""6/30/2016"""
16,"Rooney, Maxime","=""47.75""","=""7/31/2019"""
18,"Adrian, Nathan","=""47.83""","=""8/9/2016"""
19,"Adrian, Nathan","=""47.85""","=""8/10/2016"""
20,"Adrian, Nathan","=""47.85""","=""7/26/2017"""
21,"Dressel, Caeleb","=""47.86""","=""5/19/2019"""
22,"Adrian, Nathan","=""47.87""","=""7/27/2017"""
23,"Pieroni, Blake","=""47.87""","=""7/24/2019"""
25,"Jackson, Tate","=""47.88""","=""7/31/2019"""
27,"Pieroni, Blake","=""47.88""","=""7/25/2019"""
28,"Dressel, Caeleb","=""47.90""","=""6/21/2019"""
29,"Adrian, Nathan","=""47.91""","=""6/29/2016"""
30,"Dressel, Caeleb","=""47.91""","=""8/9/2016"""
32,"Adrian, Nathan","=""47.96""","=""6/27/2017"""
33,"Dressel, Caeleb","=""47.97""","=""6/27/2017"""
34,"Dressel, Caeleb","=""47.97""","=""8/9/2016"""
35,"Dressel, Caeleb","=""47.97""","=""6/21/2019"""
38,"Adrian, Nathan","=""48.00""","=""4/16/2016"""
39,"Apple, Zach","=""48.01""","=""7/8/2019"""
40,"Dressel, Caeleb","=""48.02""","=""8/10/2016"""
42,"Apple, Zach","=""48.03""","=""8/10/2018"""
45,"Adrian, Nathan","=""48.05""","=""3/5/2016"""
47,"Adrian, Nathan","=""48.06""","=""4/16/2016"""
48,"Apple, Zach","=""48.06""","=""7/25/2018"""
50,"Farris, Dean","=""48.07""","=""7/31/2019"""
51,"Pieroni, Blake","=""48.08""","=""7/25/2018"""
55,"Pieroni, Blake","=""48.11""","=""9/14/2018"""
57,"Jackson, Tate","=""48.12""","=""7/31/2019"""
59,"Dressel, Caeleb","=""48.13""","=""8/10/2018"""
60,"Apple, Zach","=""48.14""","=""6/27/2017"""
